2026-05-22 07:08:03 | INFO     | rag_platform.bm25 | BM25 indexed 3 chunks for 'test_col'
2026-05-22 07:08:03 | WARNING  | rag_platform.bm25 | BM25 index not found for 'nonexistent'
2026-05-22 07:08:03 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:08:03 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:08:03 | WARNING  | rag_platform.bm25 | BM25 index not found for 'col'
2026-05-22 07:08:16 | INFO     | rag_platform.bm25 | BM25 indexed 3 chunks for 'test_col'
2026-05-22 07:08:16 | WARNING  | rag_platform.bm25 | BM25 index not found for 'nonexistent'
2026-05-22 07:08:16 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:08:16 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:08:16 | WARNING  | rag_platform.bm25 | BM25 index not found for 'col'
2026-05-22 07:09:15 | INFO     | rag_platform.bm25 | BM25 indexed 3 chunks for 'test_col'
2026-05-22 07:09:15 | WARNING  | rag_platform.bm25 | BM25 index not found for 'nonexistent'
2026-05-22 07:09:15 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:09:15 | INFO     | rag_platform.bm25 | BM25 indexed 1 chunks for 'col'
2026-05-22 07:09:15 | WARNING  | rag_platform.bm25 | BM25 index not found for 'col'
